STATE,PLANT_NAME,LAT,LON,COAL_GEN,OIL_GEN,GAS_GEN,NUCLEAR_GEN,HYDRO_GEN,BIOMASS_GEN,WIND_GEN,SOLAR_GEN,GEOTHERMAL_GEN,OTHER_GEN,NET_GEN,NET_NONRENEWABLE_GEN,NET_RENEWABLE_GEN,PERCENT_COAL_GEN,PERCENT_OIL_GEN,PERCENT_GAS_GEN,PERCENT_NUCLEAR_GEN,PERCENT_HYDRO_GEN,PERCENT_BIOMASS_GEN,PERCENT_WIND_GEN,PERCENT_SOLAR_GEN,PERCENT_GEOTHERMAL_GEN,PERCENT_OTHER_GEN,PERCENT_NONRENEWABLE_GEN,PERCENT_RENEWABLE_GEN
GA,NACOOCHEE,34.8583,83.3815,0.0,0.0,0.0,0.0,7764.0,0.0,0.0,0.0,0.0,0.0,7764.0,0.0,7764.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,NAVAL SUBMARINE BASE  KINGS BAY  GA,30.9400,81.6665,0.0,19428.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19428.9,19428.9,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,NEXPAK,33.9603,84.0378,0.0,0.0,598.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.6,598.6,0.0,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,NORTH HIGHLANDS,32.7276,84.9386,0.0,0.0,0.0,0.0,69709.0,0.0,0.0,0.0,0.0,0.0,69709.0,0.0,69709.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,NOTTELY,34.8178,83.9690,0.0,0.0,0.0,0.0,13389.0,0.0,0.0,0.0,0.0,0.0,13389.0,0.0,13389.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,OLIVER DAM,32.4915,84.8877,0.0,0.0,0.0,0.0,123819.0,0.0,0.0,0.0,0.0,0.0,123819.0,0.0,123819.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,PLANT CRISP,31.5833,83.8339,5790.0,0.0,4630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10420.0,10420.0,0.0,55.5662,0.0000,44.4338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,PORTERDALE HYDRO,33.5562,83.8627,0.0,0.0,0.0,0.0,2189.6,0.0,0.0,0.0,0.0,0.0,2189.6,0.0,2189.6,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,RABUN GAP COGENERATION FACILITY,34.8583,83.3815,0.0,0.0,0.0,0.0,0.0,14370.1,0.0,0.0,0.0,0.0,14370.1,0.0,14370.1,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,RAYONIER JESUP MILL,31.5767,81.8857,0.0,51151.3,17551.8,0.0,0.0,415054.3,0.0,0.0,0.0,0.0,483757.4,68703.1,415054.3,0.0000,10.5737,3.6282,0.0000,0.0000,85.7980,0.0000,0.0000,0.0000,0.0000,14.2020,85.7980
GA,RICHARD RUSSELL,34.1227,82.8209,0.0,0.0,0.0,0.0,248281.0,0.0,0.0,0.0,0.0,0.0,248281.0,0.0,248281.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,RIVERSIDE,32.0833,81.0958,0.0,0.0,44347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44347.0,44347.0,0.0,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,RIVERSIDE MANUFACTURING CO,31.1802,83.7617,0.0,0.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,26.2,0.0,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,RIVERVIEW,32.7276,84.9386,0.0,0.0,0.0,0.0,995.0,0.0,0.0,0.0,0.0,0.0,995.0,0.0,995.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,RIVERWOOD INTERNATIONAL USA INC,32.8084,83.6912,47315.3,28010.8,12811.9,0.0,0.0,150122.1,0.0,0.0,0.0,0.0,238260.1,88138.1,150122.1,19.8587,11.7564,5.3773,0.0000,0.0000,63.0076,0.0000,0.0000,0.0000,0.0000,36.9924,63.0076
GA,RIVERWOOD 100 BUILDING,33.8443,84.4094,0.0,351.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.6,351.6,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,ROBINS,32.4874,83.6775,0.0,27325.0,100733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128058.0,128058.0,0.0,0.0000,21.3380,78.6620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,ROCKY MOUNTAIN HYDRO,34.3333,85.2336,0.0,0.0,0.0,0.0,-518844.0,0.0,0.0,0.0,0.0,0.0,-518844.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,SAVANNAH ENERGY SYSTEMS CO,31.9812,81.1175,0.0,0.0,15.4,0.0,0.0,6824.2,0.0,0.0,0.0,12673.4,19513.0,2940.0,6824.2,0.0000,0.0000,0.1575,0.0000,0.0000,69.8897,0.0000,0.0000,0.0000,29.9527,30.1103,69.8897
GA,SAVANNAH RIVER MILL,32.3486,81.3364,44417.5,597616.2,29541.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671574.8,671574.8,0.0,6.6139,88.9873,4.3988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,SAVANNAH SUGAR REFINERY,31.9812,81.1175,34239.9,2098.8,15000.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51339.1,51339.2,0.0,66.6936,4.0881,29.2183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,SCHERER,33.0583,83.8072,21208290.0,5450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21213740.0,21213740.0,0.0,99.9743,0.0257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,SEWELL CREEK ENERGY,33.9986,85.1721,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,N/A,N/A,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,SHEPHERD CENTER,33.8443,84.4094,0.0,84.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1,84.1,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,SINCLAIR DAM,33.0576,83.2433,0.0,0.0,0.0,0.0,61668.0,0.0,0.0,0.0,0.0,0.0,61668.0,0.0,61668.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,SMARR ENERGY CENTER,33.0253,83.9178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,N/A,N/A,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
